trial_index,trial_time,response_arrow_start_angle,motion_direction,motion_coherence,estimate_x,estimate_y,reaction_time,raw_response_time,prior_std,prior_mean,subject_id,experiment_name,experiment_id,session_id,run_id
41,82.8274390000151,NaN,245,0.12,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
42,84.7439190000296,NaN,235,0.24,-1.44284736188658,-2.04161492213809,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
43,86.6939710000297,NaN,235,0.06,-2.04110330571897,-1.44357102193938,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
44,88.8604010000126,NaN,225,0.12,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
45,90.7603070000187,NaN,225,0.24,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
46,92.6269220000249,NaN,245,0.12,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
47,94.6101710000075,NaN,235,0.24,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
48,96.4601790000452,NaN,235,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
49,98.5600790000171,NaN,225,0.06,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
50,100.543298000004,NaN,215,0.24,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
51,102.476664000016,NaN,215,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
52,104.543494000041,NaN,215,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
53,106.576365000044,NaN,215,0.24,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
54,108.592978000001,NaN,225,0.12,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
55,110.559516000038,NaN,215,0.12,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
56,112.492766999989,NaN,245,0.12,-0.962530205304035,-2.3072788309776,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
57,114.442688999989,NaN,235,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
58,116.442718000035,NaN,235,0.24,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
59,118.375881000014,NaN,225,0.06,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
60,120.375729000021,NaN,235,0.24,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
61,122.309081999992,NaN,215,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
62,124.175662000023,NaN,225,0.12,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
63,125.975584,NaN,225,0.12,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
64,127.75887000002,NaN,215,0.06,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
65,129.525361000036,NaN,235,0.12,-1.143837232694,-2.22297916884143,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
66,131.225283000036,NaN,235,0.12,-1.18806509233682,-2.19965936825925,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
67,132.975234000012,NaN,215,0.06,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
68,134.808567000029,NaN,215,0.24,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
69,136.558443000016,NaN,225,0.06,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
70,138.358330000017,NaN,235,0.12,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
71,140.158335000044,NaN,235,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
72,141.941573999997,NaN,205,0.12,-0.962530205304035,-2.3072788309776,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
73,143.79151900002,NaN,225,0.06,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
74,145.891540000041,NaN,225,0.06,-1.18806509233682,-2.19965936825925,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
75,147.724634000042,NaN,225,0.12,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
76,149.574568999989,NaN,225,0.12,-1.44284736188658,-2.04161492213809,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
77,151.441220000037,NaN,245,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
78,153.307671000017,NaN,225,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
79,155.207643000002,NaN,235,0.06,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
80,157.157578999992,NaN,205,0.12,-2.19923806200235,-1.18884479501747,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
81,159.274061000033,NaN,205,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
82,161.190768000029,NaN,215,0.06,-2.12399272394532,-1.31858064168535,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
83,163.240638000017,NaN,205,0.12,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
84,165.207270000014,NaN,235,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
85,167.124086000025,NaN,245,0.24,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
86,168.973725999997,NaN,235,0.12,-2.222573539857,-1.14462520500272,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
87,170.923733000003,NaN,235,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
88,172.823504000029,NaN,205,0.06,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
89,174.690246000013,NaN,225,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
90,176.556787000038,NaN,225,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
91,178.42334899999,NaN,235,0.06,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
92,180.356617000012,NaN,225,0.06,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
93,182.289930000028,NaN,235,0.24,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
94,184.073101999995,NaN,235,0.06,-1.23181774178337,-2.17545973325817,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
95,185.923031000013,NaN,215,0.12,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
96,187.789732000034,NaN,225,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
97,189.639494000003,NaN,225,0.06,-1.143837232694,-2.22297916884143,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
98,191.489505000005,NaN,225,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
99,193.306036000024,NaN,235,0.12,-1.44284736188658,-2.04161492213809,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
100,195.189223000023,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
101,197.172584000044,NaN,225,0.24,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
102,199.005746999988,NaN,235,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
103,200.922411000007,NaN,215,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
104,203.038903000008,NaN,205,0.06,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
105,204.955531000043,NaN,225,0.24,-1.44284736188658,-2.04161492213809,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
106,206.855433000019,NaN,215,0.06,-1.27507768055722,-2.15038994336953,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
107,208.738690000027,NaN,225,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
108,210.622047000041,NaN,225,0.12,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
109,212.605151000025,NaN,225,0.12,-2.04110330571897,-1.44357102193938,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
110,214.70515600004,NaN,215,0.12,-1.98174319676199,-1.52403868129636,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
111,216.671674999991,NaN,235,0.12,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
112,218.538253000006,NaN,225,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
113,220.404924000031,NaN,215,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
114,222.221549000009,NaN,225,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
115,224.10479100002,NaN,235,0.12,-1.09915185340906,-2.2454098073954,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
116,225.988086000027,NaN,225,0.06,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
117,227.921254999994,NaN,245,0.06,-1.143837232694,-2.22297916884143,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
118,229.771207000013,NaN,235,0.06,-1.31782760525965,-2.12446002617503,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
119,231.637947999989,NaN,215,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
120,233.604401000019,NaN,225,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
121,235.55429900001,NaN,205,0.06,-1.98174319676199,-1.52403868129636,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
122,237.504169000022,NaN,235,0.12,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
123,239.404090000025,NaN,215,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
124,241.303990999993,NaN,235,0.24,-1.143837232694,-2.22297916884143,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
125,243.187330000044,NaN,235,0.06,-2.39158672113016,-0.728225895800115,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
126,245.303807999997,NaN,245,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
127,247.153781000001,NaN,215,0.12,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
128,249.070308000024,NaN,225,0.12,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
129,250.93703500001,NaN,215,0.06,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
130,253.036902000022,NaN,225,0.24,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
131,254.970030000026,NaN,235,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
132,256.903416000016,NaN,215,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
133,258.836636000022,NaN,235,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
134,260.769789000042,NaN,225,0.12,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
135,262.719803000044,NaN,205,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
136,264.58633900003,NaN,235,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
137,266.519626000023,NaN,245,0.12,-1.98174319676199,-1.52403868129636,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
138,268.436183000042,NaN,215,0.06,-1.36005041649079,-2.09768035329581,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
139,270.302739000006,NaN,225,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
140,272.152688000002,NaN,215,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
141,274.08598600002,NaN,245,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
142,276.152556999994,NaN,225,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
